Entry	Gene
F2Z2R9	ACP1
G5E9R5	ACP1
O75702	ACP1
P24666	ACP1
A0A5F9ZH40	ACP2
A0A5F9ZH82	ACP2
A0A5F9ZHR7	ACP2
A0A5F9ZI20	ACP2
B7Z6U3	ACP2
B7Z7D2	ACP2
E9PHY0	ACP2
E9PQY3	ACP2
P11117	ACP2
A0A087WW36	ACP6
A0A087WWB7	ACP6
A0A087WYU6	ACP6
A0A0A0MS36	ACP6
Q9NPH0	ACP6
V9GZ71	ACP6
X5D319	ACP6
X5D7V3	ACP6
X5D9K6	ACP6
A0PJ86	ACPP
P15309	ACPP
Q6LBH1	ACPP
F5H4U6	ACSBG1
H0YM34	ACSBG1
H0YMC3	ACSBG1
H0YMF5	ACSBG1
H0YMH2	ACSBG1
H0YMZ0	ACSBG1
H0YNX0	ACSBG1
Q96GR2	ACSBG1
A0A3B3ISK9	ACSF3
F5GX20	ACSF3
F5H2G6	ACSF3
F5H362	ACSF3
F5H3B2	ACSF3
F5H5A1	ACSF3
F5H755	ACSF3
H0YGC7	ACSF3
H0YGJ0	ACSF3
H0YH37	ACSF3
H3BTS0	ACSF3
Q4G176	ACSF3
Q6P2C7	ACSF3
B7Z3Z9	ACSL1
D6RER0	ACSL1
D6RG07	ACSL1
E7EPM6	ACSL1
H0Y9U7	ACSL1
H0Y9Z9	ACSL1
P33121	ACSL1
Q108N1	ACSL1
Q108N2	ACSL1
A0A024R487	ACSL3
C9JC11	ACSL3
F5GWH2	ACSL3
F5H062	ACSL3
H7BYZ7	ACSL3
O95573	ACSL3
Q6PIM8	ACSL3
A0A0C4DGB7	ACSL4
D6RD96	ACSL4
D6RDA8	ACSL4
D6RF95	ACSL4
H0Y9A0	ACSL4
O60488	ACSL4
Q9ULC5	ACSL5
A0A494BZW8	ACSL6
A0A494C005	ACSL6
A0A494C046	ACSL6
A0A494C0A5	ACSL6
A0A494C0B6	ACSL6
A0A494C0D5	ACSL6
A0A494C0J9	ACSL6
A0A494C0V0	ACSL6
A0A494C1I9	ACSL6
A0A499FJL5	ACSL6
C9J3Z0	ACSL6
C9J4I1	ACSL6
C9J8C7	ACSL6
C9JK59	ACSL6
C9JPA5	ACSL6
C9JT10	ACSL6
D3DQ84	ACSL6
E7ERD7	ACSL6
Q9UKU0	ACSL6
E7EPS5	ACSM2A
F5GWL3	ACSM2A
